Zona,Provincia,Localidad,Latitud,Longitud,N_adultos_D_maidis_trampa_15_07_24_al_02_08_24 
NOA,Santiago del Estero,Nueva Esperanza,-26.82,-65.19,2
NOA,Salta,Metan 1,-26.82,-65.19,6
NOA,Tucumán,Viclos,-26.82,-65.18,6
NOA,Santiago del Estero,El Charco,-26.82,-65.18,7
NOA,Salta,Nstra Sra de Talavera,-24.73,-64.19,8
NOA,Tucumán,Trancas,-26.82,-65.19,8
NOA,Tucumán,Taco Ralo,-26.82,-65.19,9
NOA,Santiago del Estero,San Pedro de Guasayán,-28.04,-65.15,9
NOA,Tucumán,Acequiones,-26.82,-65.19,10
NOA,Tucumán,La Cocha 1,-26.82,-65.19,14
NOA,Tucumán,La Bajada,-26.82,-65.19,18
NOA,Salta,Rivadavia,-24.82,-62.96,20
NOA,Tucumán,Rumi Punco,-26.82,-65.19,22
NOA,Salta,Tolloche,-24.73,-64.19,25
NOA,Salta,El Bordo,-26.82,-65.19,25
NOA,Salta,Las Lajitas,-26.82,-65.19,25
NOA,Santiago del Estero,Temas de Rio Hondo,-26.82,-65.19,25
NOA,Salta,Chaguaral,-24.73,-64.19,27
NOA,Catamarca,El Abra,-26.79,-65.19,27
NOA,Salta,Urundel,-24.73,-64.19,29
NOA,Santiago del Estero,Pozo de Bedert,-26.82,-65.19,29
NOA,Salta,Ceibalito,-24.73,-64.19,30
NOA,Tucumán,La Invernada,-26.79,-65.19,35
NOA,Salta,Güemes,-24.52,-64.87,37
NOA,Salta,Antilla,-26.82,-65.19,37
NOA,Tucumán,Huasa Pampa,-26.79,-65.19,37
NOA,Santiago del Estero,Isca Yacu 2,-26.79,-65.19,42
NOA,Santiago del Estero,Isca Yacu 1,-26.82,-65.19,44
NOA,Salta,Saravia,-24.73,-64.19,49
NOA,Tucumán,Tacanas,-26.79,-65.19,50
NOA,Salta,J V Gonzales,-24.73,-64.19,55
NOA,Tucumán,Las Cejas,-26.82,-65.19,86
NOA,Santiago del Estero,Pozo Hondo,-26.82,-65.19,86
NOA,Tucumán,Los Puestos,-27.26,-64.97,88
NOA,Tucumán,Los Pereyra,-26.82,-65.18,90
NOA,Tucumán,Timbo Viejo,-26.79,-65.19,105
NOA,Salta,Pichanal,-24.73,-64.19,117
NOA,Salta,El Galpón,-25.58,-64.97,122
NOA,Santiago del Estero,Vinará,-26.82,-65.18,127
