Zona,Provincia,Localidad,Latitud,Longitud,Cant_07_12_24_al_21_12_24,Cant_22_12_24_al_07_01_25,Cant_08_01_25_al_24_01_25
NOA,Jujuy,Palpala,,,0,1,0
NOA,Jujuy,EL Carmen,,,2,1,1
NOA,Jujuy,Fraile Pintado,,,5,2,2
NOA,Jujuy,Santa Clara,,,2,1,0
NOA,Jujuy,El Bananal,,,0,0,0
NOA,Salta,Rio Piedras,,,5,Trampa perdida,4
NOA,Salta,Macapillo,,,4,Sin datos,13
NOA,Salta,Güemes,,,2,4,15
NOA,Salta,Rivadavia,,,10,3,0
NOA,Salta,Piquete Cabado 1,,,0,0,6
NOA,Salta,Antilla,,,1,0,0
NOA,Salta,Ballivián,,,0,0,0
NOA,Salta,Ceibalito,,,0,0,0
NOA,Salta,Chaguaral,,,0,0,0
NOA,Salta,Copo Quiles,,,0,0,0
NOA,Salta,El Bordo,,,0,0,0
NOA,Salta,El Galpón,,,14,0,0
NOA,Salta,El Tunal,,,0,0,0
NOA,Salta,Embarcación,,,30,17,12
NOA,Salta,Gral Pizarro,,,0,Trampa perdida,0
NOA,Salta,Horcones,,,Trampa perdida,0,1
NOA,Salta,J V Gonzales,,,0,1,0
NOA,Salta,Las Lajitas (este),,,1,2,1
NOA,Salta,Las Lajitas T3,,,0,0,0
NOA,Salta,Metan 1,,,0,0,0
NOA,Salta,Metan 2,,,0,0,0
NOA,Salta,Mollinedo,,,0,0,0
NOA,Salta,Mosconi,,,1,Sin datos,0
NOA,Salta,Nstra Sra de Talavera,,,0,0,0
NOA,Salta,Pichanal,,,16,14,18
NOA,Salta,Piquete Cabado 2,,,1,0,0
NOA,Salta,Rosario de la Frontera,,,0,0,3
NOA,Salta,Santo Domingo,,,0,Trampa perdida,0
NOA,Salta,Saravia,,,0,0,0
NOA,Salta,Tolloche,,,1,0,4
NOA,Salta,Urundel,,,0,0,10
NOA,Salta,Metán,,,0,0,1
NOA,Tucumán,Acequiones,,,1,1,2
NOA,Tucumán,Taco Ralo,,,3,Sin datos,0
NOA,Tucumán,Alto Verde,,,69,9,48
NOA,Tucumán,Burruyacu,,,0,1,0
NOA,Tucumán,Chilca,,,0,1,14
NOA,Tucumán,Garmendia,,,0,0,0
NOA,Tucumán,Huasa Pampa,,,0,0,0
NOA,Tucumán,La Bajada,,,2,1,1
NOA,Tucumán,La Cocha 1,,,3,1,1
NOA,Tucumán,La Cruz,,,3,1,1
NOA,Tucumán,La Invernada,,,2,2,1
NOA,Tucumán,La Virginia,,,6,0,4
NOA,Tucumán,Laguna de Robles,,,0,0,0
NOA,Tucumán,Las Cejas,,,4,4,2
NOA,Tucumán,Los Pereyra,,,Trampa perdida,0,1
NOA,Tucumán,Los Puestos,,,0,0,0
NOA,Tucumán,Piedrabuena,,,0,0,0
NOA,Tucumán,Rapelli,,,1,0,0
NOA,Tucumán,Río Colorado,,,0,1,0
NOA,Tucumán,Rumi Punco,,,1,2,0
NOA,Tucumán,San Agustín,,,1,0,1
NOA,Tucumán,Tacanas,,,0,0,1
NOA,Tucumán,Taco Ralo,,,3,2,0
NOA,Tucumán,Timbo Viejo,,,0,0,0
NOA,Tucumán,Trancas,,,1,1,3
NOA,Tucumán,Viclos,,,0,0,0
NOA,Tucumán,Leales,,,0,1,Sin datos
NOA,Santiago del Estero,Bobadal,,,0,0,0
NOA,Santiago del Estero,El Charco,,,Trampa perdida,2,0
NOA,Santiago del Estero,El Mojón,,,1,Trampa perdida,0
NOA,Santiago del Estero,El Palomar,,,0,0,1
NOA,Santiago del Estero,Frias 2,,,0,0,0
NOA,Santiago del Estero,Frias,,,0,0,3
NOA,Santiago del Estero,Isca Yacu 1,,,0,2,2
NOA,Santiago del Estero,Isca Yacu 2,,,0,0,0
NOA,Santiago del Estero,Las Delicias,,,0,0,0
NOA,Santiago del Estero,Lavalle,,,0,0,0
NOA,Santiago del Estero,Nueva Esperanza,,,0,0,0
NOA,Santiago del Estero,Pampa Pozo,,,0,0,0
NOA,Santiago del Estero,Pozo de Bedert,,,0,0,Sin datos
NOA,Santiago del Estero,Pozo Hondo,,,0,0,1
NOA,Santiago del Estero,San Pedro de Guasayán,,,6,2,3
NOA,Santiago del Estero,Termas de Río Hondo,,,Trampa perdida,0,0
NOA,Santiago del Estero,Vinará,,,4,3,3
NOA,Catamarca,El Abra,,,1,0,3
NOA,Catamarca,Los Altos,,,0,0,2
NEA,Formosa,Las Lomitas,,,0,1,2
NEA,Formosa,Perin,,,79,218,14
NEA,Formosa,El colorado,,,7,31,18
NEA,Formosa,Comandante Fontana,,,5,0,3
NEA,Chaco,Tres Isletas,,,15,Trampa perdida,0
NEA,Chaco,Pampa del Infierno,,,1,1,2
NEA,Chaco,Concepcion del Bermejo (Estanislao),,,0,3,3
NEA,Chaco,Don Luciano (C. del Bermejo),,,0,3,3
NEA,Chaco,Las Piedritas,,,0,0,0
NEA,Chaco,Los Frentones,,,2,0,3
NEA,Chaco,Juan José Castelli,,,0,Trampa perdida,22
NEA,Chaco,El Timbo Pampa,,,0,2,11
NEA,Chaco,El Tocon Bermejo,,,0,Trampa perdida,1
NEA,Chaco,Las Breñas,,,0,0,Sin datos
NEA,Chaco,Santa Teresa Capdevilla,,,0,Trampa perdida,0
NEA,Chaco,Pampa Cejas,,,0,Trampa perdida,0
NEA,Chaco,3 Retoños,,,0,0,Sin datos
NEA,Chaco,Quitilipi,,,0,0,0
NEA,Chaco,Pampa del Infierno,,,0,0,Sin datos
NEA,Chaco,PampaToloza,,,Sin datos,Sin datos,2
NEA,Chaco,Kempe,,,0,0,Sin datos
NEA,Chaco,Gancedo,,,0,Sin datos,Sin datos
NEA,Chaco,Gral. Pinedo,,,0,0,0
NEA,Chaco,Tres Isletas,,,16,4,0
NEA,Chaco,Los frentones,,,1,5,Sin datos
NEA,Chaco,Pampa del Infierno,,,0,0,0
NEA,Chaco,Las Breñas,,,0,3,Sin datos
NEA,Chaco,Juan José Castelli,,,29,Trampa perdida,5
NEA,Chaco,Sylvina,,,0,1,0
NEA,Chaco,Basail,,,Sin datos,4,17
NEA,Santiago del Estero,Weisburd,,,0,Trampa perdida,3
NEA,Santiago del Estero,Bandera,,,0,0,2
NEA,Santiago del Estero,Bandera,,,0,0,0
NEA,Santiago del Estero,Arbol Blanco,,,0,0,0
NEA,Santiago del Estero,Los Juries,,,0,1,0
NEA,Santiago del Estero,Roversi,,,0,0,0
