Región,Provincia,Localidad,Lectura_08_02_25_al_23_02_25,Lectura_24_02_25_al_13_03_25,Lectura_14_03_25_al_28_03_25
NOA,Jujuy,Palpala,76,Sin datos,123
NOA,Jujuy,EL Carmen,0,5,1
NOA,Jujuy,Fraile Pintado,7,9,10
NOA,Jujuy,Santa Clara,0,4,1
NOA,Jujuy,El Bananal,0,0,21
NOA,Salta,Rio Piedras,112,240,Sin datos
NOA,Salta,Macapillo,159,Sin datos,Sin datos
NOA,Salta,Güemes,Trampa perdida,200,285
NOA,Salta,Rivadavia,222,9,40
NOA,Salta,Piquete Cabado 1,44,50,248
NOA,Salta,Antilla,1,32,52
NOA,Salta,Ballivián,0,15,22
NOA,Salta,Ceibalito,36,24,Sin datos
NOA,Salta,Chaguaral,0,0,0
NOA,Salta,Copo Quiles,0,47,72
NOA,Salta,El Bordo,0,0,237
NOA,Salta,El Galpón,58,75,369
NOA,Salta,El Tunal,4,41,142
NOA,Salta,Embarcación,6,20,118
NOA,Salta,Gral Pizarro,0,7,54
NOA,Salta,Horcones,Sin datos,30,120
NOA,Salta,J V Gonzales,3,89,Sin datos
NOA,Salta,Las Lajitas (este),Sin datos,Sin datos,Sin datos
NOA,Salta,Las Lajitas T3,0,12,30
NOA,Salta,Metan 1,0,0,36
NOA,Salta,Metan 2,17,375,260
NOA,Salta,Mollinedo,6,153,305
NOA,Salta,Mosconi,5,Trampa perdida,Trampa perdida
NOA,Salta,Nstra Sra de Talavera,0,Trampa perdida,Sin datos
NOA,Salta,Pichanal,5,Trampa perdida,0
NOA,Salta,Piquete Cabado 2,6,25,Sin datos
NOA,Salta,Rosario de la Frontera,Sin datos,18,Sin datos
NOA,Salta,Santo Domingo,6,23,Sin datos
NOA,Salta,Saravia,0,3,Sin datos
NOA,Salta,Tolloche,48,266,Sin datos
NOA,Salta,Urundel,5,Trampa perdida,15
NOA,Salta,Metán,23,63,696
NOA,Tucumán,Taco Ralo,Sin datos,Sin datos,Sin datos
NOA,Tucumán,Acequiones,18,23,153
NOA,Tucumán,Alto Verde,26,47,131
NOA,Tucumán,Burruyacu,1,1,22
NOA,Tucumán,Chilca,60,25,254
NOA,Tucumán,Garmendia,2,158,Sin datos
NOA,Tucumán,Huasa Pampa,1,3,1
NOA,Tucumán,La Bajada,4,Sin datos,22
NOA,Tucumán,La Cocha 1,10,52,92
NOA,Tucumán,La Cruz,12,148,37
NOA,Tucumán,La Invernada,4,19,71
NOA,Tucumán,La Virginia,5,31,123
NOA,Tucumán,Laguna de Robles,Trampa perdida,59,132
NOA,Tucumán,Las Cejas,94,447,3120
NOA,Tucumán,Los Pereyra,Trampa perdida,0,0
NOA,Tucumán,Los Puestos,0,3,16
NOA,Tucumán,Piedrabuena,17,31,98
NOA,Tucumán,Rapelli,10,96,86
NOA,Tucumán,Río Colorado,25,8,29
NOA,Tucumán,Rumi Punco,5,48,232
NOA,Tucumán,San Agustín,5,25,60
NOA,Tucumán,Tacanas,2,Sin datos,Sin datos
NOA,Tucumán,Taco Ralo,15,9,74
NOA,Tucumán,Timbo Viejo,88,55,1141
NOA,Tucumán,Trancas,8,23,92
NOA,Tucumán,Viclos,2,9,Sin datos
NOA,Tucumán,Leales,79,104,220
NOA,Santiago del Estero,Bobadal,16,Sin datos,127
NOA,Santiago del Estero,El Charco,2,Sin datos,10
NOA,Santiago del Estero,El Mojón,Sin datos,Sin datos,Sin datos
NOA,Santiago del Estero,El Palomar,23,516,537
