Zona,Provincia/Pais,Localidad,Lectura_15_07_24_al_01_08_24,Lectura_01_08_24_al_17_08_24
NOA,Jujuy,Pálpala,147,77
NOA,Jujuy,EL Carmen,,186
NOA,Jujuy,Fraile Pintado,,7
NOA,Jujuy,Santa Clara,,11
NOA,Salta,Güemes,37,11
NOA,Salta,Rivadavia,20,8
NOA,Salta,Ballivián,161,16
NOA,Salta,Ceibalito,30,11
NOA,Salta,Chaguaral,27,0
NOA,Salta,Copo Quiles,139,17
NOA,Salta,El Bordo,25,3
NOA,Salta,El Galpón,122,51
NOA,Salta,Embarcación,367,44
NOA,Salta,Gral. Pizarro,205,5
NOA,Salta,Antilla,37,5
NOA,Salta,J V Gonzales,55,7
NOA,Salta,Las Lajitas (este),335,43
NOA,Salta,Las Lajitas T3,25,0
NOA,Salta,Metan 1,165,4
NOA,Salta,Metan 2,6,2
NOA,Salta,Rosario de la Frontera,15,1
NOA,Salta,Mollinedo,161,21
NOA,Salta,Ntra. Sra. de Talavera,8,0
NOA,Salta,Pichanal,117,23
NOA,Salta,Piquete Cabado,226,67
NOA,Salta,Mosconi,,26
NOA,Salta,Santo Domingo,,120
NOA,Salta,Saravia,49,12
NOA,Salta,Tolloche,25,4
NOA,Salta,Urundel,29,12
NOA,Santiago del Estero,Bobadal,157,47
NOA,Santiago del Estero,El Charco,7,7
NOA,Santiago del Estero,El Mojón,,16
NOA,Santiago del Estero,El Palomar,549,272
NOA,Santiago del Estero,Frias,,7
NOA,Santiago del Estero,Isca Yacu 1,44,6
NOA,Santiago del Estero,Isca Yacu 2,42,2
NOA,Santiago del Estero,Las Delicias,,3
NOA,Santiago del Estero,Lavalle,,1
NOA,Santiago del Estero,Nueva Esperanza,2,1
NOA,Santiago del Estero,Pampa Pozo,870,192
NOA,Santiago del Estero,Pozo de Bedert,29,4
NOA,Santiago del Estero,Pozo Hondo,86,4
NOA,Santiago del Estero,San Pedro de Guasayán,9,11
NOA,Santiago del Estero,Temas de Río Hondo,25,7
NOA,Santiago del Estero,Vinará,127,14
NOA,Tucumán,Acequiones,10,5
NOA,Tucumán,Alto Verde,,0
NOA,Tucumán,Burruyacu,367,120
NOA,Tucumán,Chilca,221,52
NOA,Tucumán,Garmendia,190,26
NOA,Tucumán,Huasa Pampa,37,14
NOA,Tucumán,La Bajada,18,15
NOA,Tucumán,La Cocha 1,14,11
NOA,Tucumán,La Cruz,284,96
NOA,Tucumán,La Invernada,35,15
NOA,Tucumán,La Virginia,353,224
NOA,Tucumán,Laguna de Robles,163,25
NOA,Tucumán,Las Cejas,86,30
NOA,Tucumán,Los Pereyra,90,7
NOA,Tucumán,Los Puestos,88,42
NOA,Tucumán,Piedra Buena,569,103
NOA,Tucumán,Rapelli,466,89
NOA,Tucumán,Río Colorado,286,138
NOA,Tucumán,Rumi Punco,22,6
NOA,Tucumán,San Agustín,188,166
NOA,Tucumán,Tacanas,50,10
NOA,Tucumán,Taco Ralo,9,4
NOA,Tucumán,Timbo Viejo,105,45
NOA,Tucumán,Trancas,8,0
NOA,Tucumán,Viclos,6,2
NOA,Catamarca,El Abra,27,6
NOA,Catamarca,Los Altos,,10
NEA,Chaco,Tres Isletas,5,4
NEA,Chaco,Pampa del Infierno,20,3
NEA,Chaco,Concepción del Bermejo,,0
NEA,Chaco,Concepción del Bermejo,,1
NEA,Chaco,Campo Gallo,,29
NEA,Chaco,Castelli,,1
NEA,Chaco,Pampa cejas,,0
NEA,Chaco,Los Frentones,,4
NEA,Chaco,Pampa,,1
NEA,Chaco,Capdevilla,,1
NEA,Chaco,Bermejo,,6
NEA,Santiago del Estero,Weisburd,,0
NEA,Santiago del Estero,Bandera,1,5
NEA,Santiago del Estero,Los Juries,3,2
NEA,Santiago del Estero,Roversi,0,1
NEA,Santiago del Estero,Otumpas,,0
NEA,Santiago del Estero,Tacañitas,,0
NEA,Santiago del Estero,Sachayoj,,3
NEA,Santiago del Estero,Sachayoj,,0
NEA,Santiago del Estero,Belgrano,,0
NEA,Santiago del Estero,Belgrano,,0
NEA,Santiago del Estero,Pozo del Toba,,29
NEA,Santiago del Estero,Otumpa,,0
NEA,Santiago del Estero,La paloma,,0
NEA,Santiago del Estero,Col alpina,,0
NEA,Santiago del Estero,Campo Gallo,,1
NEA,Santiago del Estero,Puna,,0
NEA,Santiago del Estero,Árbol Blanco,,0
NEA,Santa Fe,Col. La Camila,,2
NEA,Santa Fe,Logroño,,0
NEA,Santa Fe,Soledad,,0
NEA,Santa Fe,Ramayon,,0
NEA,Santa Fe,San justo 2,,0
NEA,Santa Fe,VSARALEGUI,,0
NEA,Santa Fe,Col. Hersilia,,0
NEA,Santa Fe,La María,,1
NEA,Santa Fe,San Justo,,1
NEA,Santa Fe,La Osca,,1
NEA,Santa Fe,La María,,1
NEA,Santa Fe,Margarita,,0
NEA,Santa Fe,La Penca,,0
NEA,Santa Fe,Emilia,,0
NEA,Santa Fe,Malabrigo,,0
NEA,Santa Fe,Llambi,,0
NEA,Santa Fe,Ambrosetti,,0
NEA,Santa Fe,Arroyo Ceibal,,1
NEA,Formosa,Campo del Cielo,,0
Litoral,Corrientes,Mercedes,0,0
Litoral,Corrientes,Corrientes,1,0
Litoral,Corrientes,Las Garzas,0,0
Litoral,Entre Ríos,Viale,0,2
Litoral,Entre Ríos,Sauce Pinto,,1
Litoral,Entre Ríos,Gualeguay,0,0
Litoral,Entre Ríos,Don Cristóbal,0,0
Litoral,Entre Ríos,Santa Elena,0,1
Litoral,Entre Ríos,Montoya,0,0
Litoral,Entre Ríos,La Paz,0,0
Litoral,Entre Ríos,Molino Doll,1,0
Litoral,Entre Ríos,Feliciano,1,0
Litoral,Entre Ríos,Villa Lila,2,0
Litoral,Entre Ríos,Gualeguay,,0
Litoral,Entre Ríos,Victoria,5,0
Litoral,Entre Ríos,Paso de las Piedras,,0
Litoral,Entre Ríos,Villa Hernandarias,,0
Litoral,Entre Ríos,Victoria,,0
Litoral,Entre Ríos,La paz,,0
Litoral,Entre Ríos,San Fernando,,2
