Zona,Provincia/Pais,Localidad,Lectura_15_04_25_al_28_04_25,Lectura_29_04_25_al_16_05_25,Lectura_17_05_25_al_02_06_25
NOA,Jujuy,Palpala,58,Sin datos,98
NOA,Jujuy,EL Carmen,44,Sin datos,22
NOA,Jujuy,Fraile Pintado,40,Sin datos,15
NOA,Jujuy,Santa Clara,68,Sin datos,28
NOA,Jujuy,El Bananal,221,347,95
NOA,Salta,Güemes,68,115,Sin datos
NOA,Salta,Rivadavia,1,234,28
NOA,Salta,Piquete Cabado 1,785,1960,1123
NOA,Salta,Antilla,210,2115,3061
NOA,Salta,Ballivián,48,544,118
NOA,Salta,Ceibalito,663,Sin datos,1520
NOA,Salta,Chaguaral,Trampa perdida,Sin datos,Trampa perdida
NOA,Salta,Copo Quiles,307,1137,4464
NOA,Salta,El Bordo,381,Sin datos,2320
NOA,Salta,El Galpón,1269,1644,2238
NOA,Salta,El Tunal,233,351,380
NOA,Salta,Embarcación,717,1531,592
NOA,Salta,Gral Pizarro,Trampa perdida,50,2000
NOA,Salta,Horcones,283,Sin datos,240
NOA,Salta,J V Gonzales,537,Sin datos,2030
NOA,Salta,Las Lajitas T3,968,1656,661
NOA,Salta,Metan 1,220,594,459
NOA,Salta,Metan 2,828,1623,1665
NOA,Salta,Mollinedo,1526,3600,2640
NOA,Salta,Mosconi,Sin datos,Sin datos,Sin datos
NOA,Salta,Nstra Sra de Talavera,1106,Sin datos,323
NOA,Salta,Pichanal,Trampa perdida,300,220
NOA,Salta,Piquete Cabado 2,628,Sin datos,2300
NOA,Salta,Santo Domingo,701,Sin datos,Sin datos
NOA,Salta,Saravia,513,Sin datos,1540
NOA,Salta,Tolloche,1202,Sin datos,244
NOA,Salta,Urundel,178,1280,701
NOA,Salta,Metán,613,263,359
NOA,Tucumán,Acequiones,401,5120,610
NOA,Tucumán,Alto Verde,26,250,254
NOA,Tucumán,Burruyacu,130,450,630
NOA,Tucumán,Chilca,614,455,636
NOA,Tucumán,Garmendia,823,950,60
NOA,Tucumán,Huasa Pampa,4,49,3
NOA,Tucumán,La Bajada,73,103,203
NOA,Tucumán,La Cocha 1,160,144,1040
NOA,Tucumán,La Cruz,423,Sin datos,1134
NOA,Tucumán,La Invernada,38,244,136
NOA,Tucumán,La Virginia,57,179,530
NOA,Tucumán,Laguna de Robles,545,978,439
NOA,Tucumán,Las Cejas,4800,1360,2120
NOA,Tucumán,Los Pereyra,423,Sin datos,959
NOA,Tucumán,Los Puestos,Sin datos,32,24
NOA,Tucumán,Piedrabuena,42,Trampa perdida,227
NOA,Tucumán,Rapelli,867,474,3290
NOA,Tucumán,Río Colorado,24,35,40
NOA,Tucumán,Rumi Punco,329,322,1530
NOA,Tucumán,San Agustín,32,63,200
NOA,Tucumán,Tacanas,163,310,265
NOA,Tucumán,Taco Ralo,155,564,537
NOA,Tucumán,Timbo Viejo,1320,2628,2120
NOA,Tucumán,Trancas,306,391,439
NOA,Tucumán,Viclos,92,Trampa perdida,Sin datos
NOA,Tucumán,Leales,Trampa perdida,347,510
NOA,Santiago del Estero,Bobadal,124,137,320
NOA,Santiago del Estero,El Charco,Trampa perdida,Trampa perdida,310
NOA,Santiago del Estero,El Mojón,180,274,571
NOA,Santiago del Estero,El Palomar,828,545,268
NOA,Santiago del Estero,Frias 2,498,1061,1542
NOA,Santiago del Estero,Frias,18,1061,1542
NOA,Santiago del Estero,Isca Yacu 1,Sin datos,597,3061
NOA,Santiago del Estero,Isca Yacu 2,202,0,Trampa perdida
NOA,Santiago del Estero,Las Delicias,240,3300,430
NOA,Santiago del Estero,Lavalle,24,797,Sin datos
NOA,Santiago del Estero,Nueva Esperanza,385,110,743
NOA,Santiago del Estero,Pampa Pozo,446,1744,1080
NOA,Santiago del Estero,Pozo de Bedert,285,Trampa perdida,521
NOA,Santiago del Estero,Pozo Hondo,164,0,278
NOA,Santiago del Estero,San Pedro de Guasayán,Sin datos,Sin datos,644
