Zona,Provincia,Localidad,Cant_14_10_25_al_29_10_25,Cant_30_10_25_al_14_11_25,Cant_15_11_25_al_29_11_25
Uruguay,,Mercedes,0,0,0
Uruguay,,Peñarol,0,0,0
Uruguay,,Los Arenales,0,0,0
Uruguay,,Nueva Helvecia,0,0,0
Uruguay,,Colonia,0,0,0
Uruguay,,Palmitas,0,0,0
NOA,Jujuy,EL Carmen,0,0,0
NOA,Jujuy,Fraile Pintado,Sin datos,2,1
NOA,Jujuy,Santa Clara,0,0,0
NOA,Jujuy,El Bananal,111,16,3
NOA,Salta,Agua Sucia,Sin datos,1,5
NOA,Salta,Rio Piedras,Sin datos,2,4
NOA,Salta,Rivadavia,0,3,3
NOA,Salta,Piquete Cabado 1,0,0,2
NOA,Salta,Antilla,2,1,0
NOA,Salta,Ballivián,0,0,Sin datos
NOA,Salta,Ceibalito,0,0,0
NOA,Salta,Copo Quiles,0,0,Sin datos
NOA,Salta,El Bordo,0,0,Sin datos
NOA,Salta,El Galpón,8,5,8
NOA,Salta,El Tunal,Sin datos,3,5
NOA,Salta,Embarcación,0,0,Sin datos
NOA,Salta,Gral Pizarro,0,0,Sin datos
NOA,Salta,Horcones,0,0,Sin datos
NOA,Salta,J V Gonzales,0,6,0
NOA,Salta,Las Lajitas T3,0,1,1
NOA,Salta,Metan 1,0,0,1
NOA,Salta,Metan 2,8,1,1
NOA,Salta,Mollinedo,0,1,Sin datos
NOA,Salta,Mosconi,0,0,0
NOA,Salta,Nstra Sra de Talavera,0,7,0
NOA,Salta,Pichanal,0,0,Sin datos
NOA,Salta,Piquete Cabado 2,0,0,1
NOA,Salta,Santo Domingo,0,0,0
NOA,Salta,Saravia,0,0,0
NOA,Salta,Tolloche,1,0,Trampa perdida
NOA,Salta,Urundel,0,0,Sin datos
NOA,Salta,Metán,0,0,0
NOA,Tucumán,Tusquita,Sin datos,0,1
NOA,Tucumán,Alto Verde,62,95,236
NOA,Tucumán,Burruyacu,0,0,0
NOA,Tucumán,Chilca,0,Sin datos,0
NOA,Tucumán,Garmendia,0,0,0
NOA,Tucumán,Huasa Pampa,0,0,1
NOA,Tucumán,La Bajada,2,2,1
NOA,Tucumán,La Cocha 1,8,9,3
NOA,Tucumán,La Cruz,Trampa perdida,0,0
NOA,Tucumán,La Invernada,1,1,1
NOA,Tucumán,La Virginia,0,0,0
NOA,Tucumán,Laguna de Robles,4,0,1
NOA,Tucumán,Las Cejas,8,5,27
NOA,Tucumán,Los Pereyra,2,2,2
NOA,Tucumán,Los Puestos,0,Sin datos,0
NOA,Tucumán,Piedrabuena,0,0,1
NOA,Tucumán,Rapelli,1,0,Sin datos
NOA,Tucumán,Río Colorado,4,17,75
NOA,Tucumán,Rumi Punco,2,2,2
NOA,Tucumán,San Agustín,0,0,2
NOA,Tucumán,Tacanas,6,1,0
NOA,Tucumán,Taco Ralo,5,12,6
NOA,Tucumán,Timbo Viejo,0,72,34
NOA,Tucumán,Trancas,0,0,Sin datos
NOA,Tucumán,Viclos,1,1,0
NOA,Tucumán,Leales,0,1,0
NOA,Santiago del Estero,Bobadal,0,0,0
NOA,Santiago del Estero,El Charco,0,4,0
NOA,Santiago del Estero,El Palomar,0,0,0
NOA,Santiago del Estero,Frias,0,1,Sin datos
NOA,Santiago del Estero,Frias,0,0,0
NOA,Santiago del Estero,Isca Yacu 2,0,0,0
NOA,Santiago del Estero,Lavalle,0,Trampa perdida,Sin datos
NOA,Santiago del Estero,Nueva Esperanza,0,Sin datos,Sin datos
NOA,Santiago del Estero,Pampa Pozo,0,Sin datos,0
NOA,Santiago del Estero,Pozo Hondo,2,Sin datos,Sin datos
NOA,Santiago del Estero,San Pedro de Guasayán,0,0,1
NOA,Santiago del Estero,Termas R. Hondo,0,0,0
NOA,Santiago del Estero,Vinará,3,0,2
NOA,Santiago del Estero,Termas de Río Hondo,0,0,0
NOA,Santiago del Estero,Fisco,0,Sin datos,Sin datos
NOA,Catamarca,El Abra,0,1,0
NOA,Catamarca,Los Altos,1,94,75
NOA,Catamarca,Frias,0,0,1
NEA,Chaco,Tres Isletas,8,10,0
NEA,Chaco,Pampa del Infierno,0,0,1
NEA,Chaco,Concepcion del Bermejo (Estanislao),1,0,4
NEA,Chaco,Villa Angela,0,8,12
NEA,Chaco,Las Piedritas,0,1,0
NEA,Chaco,Gral. Pinedo,4,2,13
NEA,Chaco,Tres Isletas,11,2,5
NEA,Chaco,Pampa del Infierno,4,2,7
NEA,Chaco,Las Breñas,0,0,4
NEA,Chaco,Juan José Castelli,3,111,446
NEA,Chaco,Sylvina,Trampa perdida,0,4
NEA,Chaco,Basail,0,3,3
NEA,Chaco,Bajo Hondo,0,1,Sin datos
NEA,Chaco,Las Piedras,0,Sin datos,Sin datos
NEA,Chaco,San Bernardo,0,0,0
NEA,Chaco,La Montenegrina,0,0,1
NEA,Chaco,Santa Teresa Capdevilla,1,3,0
NEA,Chaco,Palo blanco,1,1,0
NEA,Chaco,Pampa del Infierno,Sin datos,0,1
NEA,Chaco,Castelli,1,2,4
NEA,Chaco,El Tocon Bermejo,1,2,0
NEA,Chaco,Charata,0,0,0
NEA,Chaco,Gancedo,1,0,0
NEA,Chaco,Las Breñas,0,0,0
NEA,Chaco,Almirante Brown,Sin datos,Sin datos,0
NEA,Formosa,El colorado,1,0,0
NEA,Formosa,Comandante Fontana,342,371,292
NEA,Formosa,Gral. M. Belgrano,Sin datos,0,Sin datos
NEA,Formosa,Perin,5,4,5
NEA,Formosa,Las Lomitas,55,113,102
NEA,Santa Fe,Villa Minetti,0,0,0
NEA,Santa Fe,El Guanagan,Sin datos,0,0
NEA,Santa Fe,Santa Margarina,Sin datos,0,0
NEA,Santa Fe,Villa Minetti,0,0,0
NEA,Santa Fe,Emilia,0,0,0
NEA,Santa Fe,Reconquista,0,0,0
NEA,Santa Fe,Calchaquí,0,0,1
NEA,Santa Fe,Logroño,0,0,0
NEA,Santa Fe,San javier,0,0,0
NEA,Santa Fe,La sarita,12,24,16
NEA,Santa Fe,La Pelada,0,0,0
NEA,Santa Fe,Ambrosetti,0,0,0
NEA,Santa Fe,La Penca y Caraguatá,0,1,2
NEA,Santa Fe,Ramayón,0,0,0
NEA,Santa Fe,Margarita,0,0,0
NEA,Santa Fe,Vera y Pintado,0,0,0
NEA,Santa Fe,La María,0,0,0
NEA,Santa Fe,La Osca,0,0,0
