Zona,Provincia/Pais,Localidad,Lectura_30_10_25_al_14_11_25,Lectura_15_11_25_al_29_11_25,Lectura_30_11_25_al_15_12_25
Uruguay,Uruguay,Mercedes,0,0,0
Uruguay,Uruguay,Peñarol,0,0,Sin datos
Uruguay,Uruguay,Los Arenales,0,0,Sin datos
Uruguay,Uruguay,Nueva Helvecia,0,0,0
Uruguay,Uruguay,Colonia,0,0,0
Uruguay,Uruguay,Palmitas,0,0,0
Uruguay,Uruguay,Durazno,0,0,0
Uruguay,Uruguay,Young,0,0,1
Uruguay,Uruguay,Young,0,0,0
NOA,Jujuy,EL Carmen,0,0,0
NOA,Jujuy,Fraile Pintado,2,0,1
NOA,Jujuy,Santa Clara,0,0,0
NOA,Jujuy,El Bananal,16,3,3
NOA,Salta,Agua Sucia,1,5,3
NOA,Salta,Rio Piedras,2,4,2
NOA,Salta,Rivadavia,0,Sin datos,3
NOA,Salta,Piquete Cabado 1,0,12,2
NOA,Salta,Antilla,2,0,2
NOA,Salta,Ballivián,0,Sin datos,0
NOA,Salta,Ceibalito,0,0,1
NOA,Salta,Copo Quiles,0,Trampa perdida,Sin datos
NOA,Salta,El Bordo,0,Sin datos,0
NOA,Salta,El Galpón,5,8,8
NOA,Salta,El Tunal,Sin datos,5,7
NOA,Salta,Embarcación,0,Sin datos,0
NOA,Salta,Gral Pizarro,0,Sin datos,0
NOA,Salta,Horcones,0,0,1
NOA,Salta,J V Gonzales,6,0,4
NOA,Salta,Las Lajitas T3,1,1,1
NOA,Salta,Metan 1,0,1,Trampa perdida
NOA,Salta,Metan 2,1,1,1
NOA,Salta,Mollinedo,1,Sin datos,0
NOA,Salta,Mosconi,0,0,0
NOA,Salta,Nstra Sra de Talavera,0,0,1
NOA,Salta,Pichanal,0,Sin datos,0
NOA,Salta,Piquete Cabado 2,0,1,1
NOA,Salta,Santo Domingo,0,0,3
NOA,Salta,Saravia,0,0,1
NOA,Salta,Tolloche,0,Trampa perdida,0
NOA,Salta,Urundel,0,Sin datos,0
NOA,Salta,Metán,0,0,0
NOA,Tucumán,Tusquita,0,0,1
NOA,Tucumán,Alto Verde,95,236,372
NOA,Tucumán,Burruyacu,0,0,Trampa perdida
NOA,Tucumán,Chilca,Sin datos,0,Sin datos
NOA,Tucumán,Garmendia,0,0,Trampa perdida
NOA,Tucumán,Huasa Pampa,0,1,0
NOA,Tucumán,La Bajada,2,1,1
NOA,Tucumán,La Cocha 1,9,3,1
NOA,Tucumán,La Cruz,0,0,Trampa perdida
NOA,Tucumán,La Invernada,1,1,Trampa perdida
NOA,Tucumán,La Virginia,0,0,0
NOA,Tucumán,Laguna de Robles,0,1,4
NOA,Tucumán,Las Cejas,5,27,Trampa perdida
