Zona,Provincia,Localidad,Cant_30_11_25_al_15_12_25,Cant_16_12_25_al_31_12_25,Cant_01_01_26_al_16_01_26
Uruguay,,Mercedes,0,0,0
Uruguay,,Peñarol,0,Sin datos,0
Uruguay,,Los Arenales,Sin datos,Sin datos,Sin datos
Uruguay,,Nueva Helvecia,0,0,0
Uruguay,,Colonia,0,0,0
Uruguay,,Palmitas,0,0,0
Uruguay,,Durazno,0,0,Sin datos
Uruguay,,Young,1,Sin datos,1
Uruguay,,Young,0,Sin datos,Sin datos
NOA,Jujuy,EL Carmen,0,0,0
NOA,Jujuy,Fraile Pintado,0,0,0
NOA,Jujuy,Santa Clara,0,0,0
NOA,Jujuy,El Bananal,3,2,69
NOA,Salta,Agua Sucia,3,4,6
NOA,Salta,Rio Piedras,2,2,Trampa perdida
NOA,Salta,Rivadavia,Sin datos,Trampa perdida,6
NOA,Salta,Piquete Cabado 1,12,12,2
NOA,Salta,Antilla,2,2,1
NOA,Salta,Ballivián,0,0,Trampa perdida
NOA,Salta,Ceibalito,1,0,0
NOA,Salta,Copo Quiles,Trampa perdida,0,7
NOA,Salta,El Bordo,0,0,2
NOA,Salta,El Galpón,8,8,0
NOA,Salta,El Tunal,7,7,3
NOA,Salta,Embarcación,0,0,Trampa perdida
NOA,Salta,Gral Pizarro,0,0,0
NOA,Salta,Horcones,1,0,0
NOA,Salta,J V Gonzales,4,0,5
NOA,Salta,Las Lajitas T3,1,1,Sin datos
NOA,Salta,Metan 1,Trampa perdida,0,Sin datos
NOA,Salta,Metan 2,1,1,Sin datos
NOA,Salta,Mollinedo,0,1,1
NOA,Salta,Mosconi,0,0,0
NOA,Salta,Nstra Sra de Talavera,1,0,1
NOA,Salta,Pichanal,0,0,2
NOA,Salta,Piquete Cabado 2,1,2,1
NOA,Salta,Santo Domingo,3,0,0
NOA,Salta,Saravia,1,1,3
NOA,Salta,Tolloche,0,1,Trampa perdida
NOA,Salta,Urundel,0,0,Sin datos
NOA,Salta,Metán,0,0,0
NOA,Tucumán,Tusquita,0,0,0
NOA,Tucumán,Alto Verde,372,244,122
NOA,Tucumán,Burruyacu,Trampa perdida,0,0
NOA,Tucumán,Chilca,Sin datos,2,Trampa perdida
NOA,Tucumán,Garmendia,Trampa perdida,0,0
NOA,Tucumán,Huasa Pampa,0,2,4
NOA,Tucumán,La Bajada,1,2,3
NOA,Tucumán,La Cocha 1,1,5,5
NOA,Tucumán,La Cruz,Trampa perdida,0,1
NOA,Tucumán,La Invernada,Trampa perdida,0,2
NOA,Tucumán,La Virginia,0,0,3
NOA,Tucumán,Laguna de Robles,4,0,0
NOA,Tucumán,Las Cejas,Trampa perdida,0,16
NOA,Tucumán,Los Pereyra,0,0,0
NOA,Tucumán,Los Puestos,0,0,3
NOA,Tucumán,Piedrabuena,0,0,0
NOA,Tucumán,Rapelli,0,0,0
NOA,Tucumán,Río Colorado,65,8,1
NOA,Tucumán,Rumi Punco,4,1,7
NOA,Tucumán,San Agustín,2,1,7
NOA,Tucumán,Tacanas,3,0,0
NOA,Tucumán,Taco Ralo,5,5,10
NOA,Tucumán,Timbo Viejo,48,18,148
NOA,Tucumán,Trancas,Sin datos,1,1
NOA,Tucumán,Leales,0,0,0
NOA,Tucumán,Tala Pozo,1,Trampa perdida,16
NOA,Santiago del Estero,Bobadal,0,0,0
NOA,Santiago del Estero,El Charco,1,20,5
NOA,Santiago del Estero,El Palomar,0,Trampa perdida,4
NOA,Santiago del Estero,Frias,0,1,0
NOA,Santiago del Estero,Isca Yacu 2,0,0,1
NOA,Santiago del Estero,Pampa Pozo,Sin datos,1,1
NOA,Santiago del Estero,Pozo Hondo,Sin datos,0,0
NOA,Santiago del Estero,San Pedro de Guasayán,1,1,1
NOA,Santiago del Estero,Termas R. Hondo,0,0,1
NOA,Santiago del Estero,Vinará,3,3,3
NOA,Santiago del Estero,Termas de Río Hondo,0,0,1
NOA,Catamarca,El Abra,0,2,9
NOA,Catamarca,Los Altos,12,38,65
NOA,Catamarca,Frias,5,6,10
NEA,Chaco,Tres Isletas,15,15,35
NEA,Chaco,Pampa del Infierno,83,Trampa perdida,8
NEA,Chaco,Concepcion del Bermejo,7,Sin datos,7
NEA,Chaco,Villa Angela,40,28,25
NEA,Chaco,Las Piedritas,5,0,0
NEA,Chaco,Gral. Pinedo,7,9,4
NEA,Chaco,Tres Isletas,3,4,12
NEA,Chaco,Pampa del Infierno,9,10,7
NEA,Chaco,Las Breñas,34,9,28
NEA,Chaco,Juan José Castelli,158,32,35
NEA,Chaco,Sylvina,Trampa perdida,1,0
NEA,Chaco,Basail,5,4,5
NEA,Chaco,Bajo Hondo,6,83,14
NEA,Chaco,Las Piedras,0,0,0
NEA,Chaco,San Bernardo,0,0,1
NEA,Chaco,La Montenegrina,0,1,2
NEA,Chaco,Santa Teresa Capdevilla,0,0,17
NEA,Chaco,Palo blanco,2,5,9
NEA,Chaco,Pampa del Infierno,6,147,14
