Zona,Provincia,Localidad,Latitud,Longitud,Cant_04_09_24_al_18_09_24,Cant_19_09_24_al_03_10_24,Cant_04_10_24_al_21_10_24
NOA,Jujuy,Palpala,,,1,1,0
NOA,Jujuy,EL Carmen,,,9,4,Sin datos
NOA,Jujuy,Fraile Pintado,,,2,1,Sin datos
NOA,Jujuy,Santa Clara,,,2,0,Sin datos
NOA,Jujuy,El Bananal,,,1,1,0
NOA,Salta,Rio Piedras,,,5,6,9
NOA,Salta,Macapillo,,,3,2,Sin datos
NOA,Salta,Güemes,,,5,3,4
NOA,Salta,Rivadavia,,,2,3,0
NOA,Salta,Piquete Cabado 1,,,1,1,2
NOA,Salta,Antilla,,,Trampa perdida,5,0
NOA,Salta,Ballivián,,,0,0,0
NOA,Salta,Ceibalito,,,3,1,0
NOA,Salta,Chaguaral,,,0,1,0
NOA,Salta,Copo Quiles,,,0,0,0
NOA,Salta,El Bordo,,,0,0,0
NOA,Salta,El Galpón,,,13,0,2
NOA,Salta,El Tunal,,,0,0,0
NOA,Salta,Embarcación,,,0,1,0
NOA,Salta,Gral Pizarro,,,0,0,1
NOA,Salta,Horcones,,,3,0,0
NOA,Salta,J V Gonzales,,,1,1,0
NOA,Salta,Las Lajitas (este),,,2,2,Sin datos
NOA,Salta,Las Lajitas T3,,,2,1,0
NOA,Salta,Metan 1,,,0,1,2
NOA,Salta,Metan 2,,,2,3,2
NOA,Salta,Mollinedo,,,3,0,0
NOA,Salta,Mosconi,,,1,1,Sin datos
NOA,Salta,Nstra Sra de Talavera,,,0,0,0
NOA,Salta,Pichanal,,,6,2,0
NOA,Salta,Piquete Cabado 2,,,1,3,0
NOA,Salta,Rosario de la Frontera,,,1,0,0
NOA,Salta,Santo Domingo,,,0,0,0
NOA,Salta,Saravia,,,0,0,1
NOA,Salta,Tolloche,,,0,1,0
NOA,Salta,Urundel,,,2,0,0
NOA,Salta,Metán,,,8,0,0
NOA,Tucumán,Acequiones,,,0,0,0
NOA,Tucumán,Alto Verde,,,0,0,0
NOA,Tucumán,Burruyacu,,,5,1,4
NOA,Tucumán,Chilca,,,4,0,0
NOA,Tucumán,Garmendia,,,2,1,0
NOA,Tucumán,Huasa Pampa,,,0,1,0
NOA,Tucumán,La Bajada,,,1,2,3
NOA,Tucumán,La Cocha 1,,,2,3,2
NOA,Tucumán,La Cruz,,,21,1,5
NOA,Tucumán,La Invernada,,,4,0,1
NOA,Tucumán,La Virginia,,,56,0,0
NOA,Tucumán,Laguna de Robles,,,9,2,Sin datos
NOA,Tucumán,Las Cejas,,,29,2,12
NOA,Tucumán,Los Pereyra,,,3,4,1
NOA,Tucumán,Los Puestos,,,0,0,0
NOA,Tucumán,Piedrabuena,,,4,0,0
NOA,Tucumán,Rapelli,,,6,4,4
NOA,Tucumán,Río Colorado,,,5,0,0
NOA,Tucumán,Rumi Punco,,,5,2,4
NOA,Tucumán,San Agustín,,,3,1,0
NOA,Tucumán,Tacanas,,,0,0,0
NOA,Tucumán,Taco Ralo,,,5,4,5
NOA,Tucumán,Timbo Viejo,,,1,0,11
NOA,Tucumán,Trancas,,,0,0,0
NOA,Tucumán,Viclos,,,4,0,0
NOA,Tucumán,Leales,,,Sin datos,0,0
NOA,Santiago del Estero,Bobadal,,,3,0,0
NOA,Santiago del Estero,El Charco,,,1,0,2
NOA,Santiago del Estero,El Mojón,,,10,0,0
NOA,Santiago del Estero,El Palomar,,,5,0,0
NOA,Santiago del Estero,Frias 2,,,0,0,0
NOA,Santiago del Estero,Frias,,,3,0,0
NOA,Santiago del Estero,Isca Yacu 1,,,0,0,4
NOA,Santiago del Estero,Isca Yacu 2,,,0,0,0
NOA,Santiago del Estero,Las Delicias,,,1,0,0
NOA,Santiago del Estero,Lavalle,,,0,1,0
NOA,Santiago del Estero,Nueva Esperanza,,,1,0,0
NOA,Santiago del Estero,Pampa Pozo,,,7,0,0
NOA,Santiago del Estero,Pozo de Bedert,,,1,0,0
NOA,Santiago del Estero,Pozo Hondo,,,0,0,0
NOA,Santiago del Estero,San Pedro de Guasayán,,,2,0,0
NOA,Santiago del Estero,Termas de Río Hondo,,,0,0,0
NOA,Santiago del Estero,Vinará,,,3,4,3
NOA,Catamarca,El Abra,,,1,0,0
NOA,Catamarca,Los Altos,,,0,0,0
NEA,Formosa,Las Lomitas,,,0,0,0
NEA,Formosa,El Naranjo,,,1,0,1
NEA,Formosa,Comandante Fontana,,,0,1,Sin datos
NEA,Formosa,El colorado,,,0,1,0
NEA,Chaco,Tres Isletas,,,Sin datos,3,2
NEA,Chaco,Pampa del Infierno,,,0,0,1
NEA,Chaco,Concepcion del Bermejo (Estanislao),,,0,2,0
NEA,Chaco,Don Luciano (C. del Bermejo),,,1,0,0
NEA,Chaco,Las Piedritas,,,0,0,0
NEA,Chaco,Los Frentones,,,0,0,0
NEA,Chaco,Juan José Castelli,,,0,0,0
NEA,Chaco,El Timbo Pampa,,,0,1,0
NEA,Chaco,El Tocon Bermejo,,,0,0,1
NEA,Chaco,Las Breñas,,,0,0,0
NEA,Chaco,Santa Teresa Capdevilla,,,0,0,0
NEA,Chaco,Pampa Cejas,,,0,0,0
NEA,Chaco,3 Retoños,,,1,0,0
NEA,Chaco,Quitilipi,,,0,0,0
NEA,Chaco,Pampa de los Guanacos,,,0,0,0
NEA,Chaco,Pampa del Infierno,,,0,5,Sin datos
NEA,Chaco,PampaToloza,,,0,0,Sin datos
NEA,Chaco,Kempe,,,0,0,0
NEA,Chaco,Pampa del Infierno,,,3,1,1
NEA,Chaco,Pampa de los Guanacos,,,0,0,0
NEA,Chaco,Las Breñas,,,0,0,0
NEA,Chaco,Juan José Castelli,,,0,3,0
NEA,Chaco,Gancedo,,,0,0,0
NEA,Chaco,Gral. Pinedo,,,Sin datos,0,0
NEA,Chaco,Tres Isletas,,,0,0,1
NEA,Chaco,Basail,,,Sin datos,1,0
NEA,Santiago del Estero,Weisburd,,,3,1,0
NEA,Santiago del Estero,Bandera,,,0,0,0
NEA,Santiago del Estero,Bandera,,,1,0,0
NEA,Santiago del Estero,Arbol Blanco,,,0,0,0
NEA,Santiago del Estero,Los Juries,,,0,0,0
NEA,Santiago del Estero,Roversi,,,2,0,1
NEA,Santiago del Estero,Otumpas,,,0,0,0
NEA,Santiago del Estero,Tacañitas,,,0,0,0
NEA,Santiago del Estero,Sachayoj,,,0,0,0
NEA,Santiago del Estero,Campo Gallo,,,0,0,0
NEA,Santiago del Estero,Sachayoj,,,0,0,Sin datos
NEA,Santiago del Estero,SotosCueva,,,0,0,Sin datos
NEA,Santiago del Estero,Rosello,,,1,0,0
NEA,Santiago del Estero,Tierras del Oeste,,,1,1,0
NEA,Santiago del Estero,Lilo Viejo,,,0,0,0
NEA,Santiago del Estero,Cuatro Bocas,,,2,0,Sin datos
NEA,Santiago del Estero,Rio Dulce,,,2,1,0
NEA,Santiago del Estero,La Rosita,,,0,0,0
NEA,Santiago del Estero,Weisburd,,,0,0,0
NEA,Santiago del Estero,Colonia Alpina,,,0,0,1
NEA,Santiago del Estero,Isla Baja,,,0,2,0
NEA,Santiago del Estero,Tomás Young,,,3,1,0
NEA,Santiago del Estero,Campo Gallo,,,0,0,1
NEA,Santiago del Estero,Pozo del Toba,,,0,0,0
NEA,Santiago del Estero,Desvío La Paloma,,,0,0,0
NEA,Santiago del Estero,Puna,,,0,0,0
NEA,Santiago del Estero,Otumpa,,,1,0,0
NEA,Santiago del Estero,Campo del Cielo,,,0,0,0
NEA,Santiago del Estero,Campo de Cielo,,,0,0,0
NEA,Santiago del Estero,Otumpa,,,0,0,0
NEA,Santiago del Estero,Los Juries,,,0,0,0
NEA,Santiago del Estero,Sachayoj,,,0,Sin datos,0
NEA,Santiago del Estero,Los Juries 2,,,1,0,0
NEA,Santiago del Estero,Quimilí,,,0,0,0
NEA,Santa Fe,La Pelada,,,0,0,0
NEA,Santa Fe,Juamarita,,,3,0,0
NEA,Santa Fe,Ambrosetti,,,0,0,0
NEA,Santa Fe,Arroyo Ceibal,,,0,0,0
NEA,Santa Fe,Hersilia,,,0,1,3
NEA,Santa Fe,La Penca y Caraguatá,,,2,1,0
NEA,Santa Fe,Ramayón,,,0,0,0
NEA,Santa Fe,Alejandra,,,1,0,0
NEA,Santa Fe,Margarita,,,0,1,0
NEA,Santa Fe,Vera y Pintado,,,1,1,Sin datos
NEA,Santa Fe,Emilia,,,0,0,0
NEA,Santa Fe,La María,,,0,0,0
NEA,Santa Fe,La Osca,,,0,1,Sin datos
NEA,Santa Fe,Llambí Campbell,,,0,0,0
NEA,Santa Fe,Malabrigo,,,0,0,0
NEA,Santa Fe,Soledad,,,0,0,0
NEA,Santa Fe,Villa Saralegui,,,0,0,0
NEA,Santa Fe,El Arazá,,,0,0,0
NEA,Santa Fe,Reconquista,,,0,0,0
NEA,Santa Fe,Calchaquí,,,0,0,Sin datos
NEA,Santa Fe,Logroño,,,0,0,0
NEA,Santa Fe,Logroño,,,0,0,0
NEA,Santa Fe,Villa Minetti,,,0,0,0
NEA,Santa Fe,San Justo,,,0,0,0
NEA,Santa Fe,San Justo,,,0,0,0
NEA,Santa Fe,Villa Minetti,,,Sin datos,Sin datos,0
Litoral,Corrientes,Mercedes,,,0,5,4
Litoral,Corrientes,Ambrosio,,,0,0,1
Litoral,Corrientes,Corrientes,,,0,3,1
Litoral,Corrientes,Bella Vista,,,2,2,3
Litoral,Entre Ríos,Don Cristóbal,,,0,0,0
Litoral,Entre Ríos,Isletas,,,0,0,0
Litoral,Entre Ríos,La paz,,,0,0,0
Litoral,Entre Ríos,Hinojal,,,0,0,0
Litoral,Entre Ríos,Colonia Celina,,,0,0,0
Litoral,Entre Ríos,Viale,,,0,0,0
Litoral,Entre Ríos,Sauce Pinto,,,0,0,0
Litoral,Entre Ríos,Gualeguay,,,0,0,0
Litoral,Entre Ríos,Paso de las Piedras,,,0,0,0
Litoral,Entre Ríos,Villa Hernandarias,,,0,0,0
Litoral,Entre Ríos,Don Cristóbal,,,0,0,0
Litoral,Entre Ríos,Las Garzas,,,0,2,0
Litoral,Entre Ríos,Santa Elena,,,1,0,0
Litoral,Entre Ríos,Montoya,,,0,0,0
Litoral,Entre Ríos,La Paz,,,2,0,0
Litoral,Entre Ríos,Molino Doll,,,0,0,0
Litoral,Entre Ríos,Feliciano,,,0,0,0
Litoral,Entre Ríos,Villa Lila,,,0,0,0
Litoral,Entre Ríos,Gualeguay,,,0,0,0
Litoral,Entre Ríos,Victoria,,,0,0,0
Litoral,Entre Ríos,Arroyo Barú,,,0,0,0
Litoral,Entre Ríos,San Fernando,,,0,0,0
Litoral,Entre Ríos,La Paz,,,0,0,0
Litoral,Entre Ríos,Nogoya,,,0,0,0
Litoral,Entre Ríos,Paraná,,,0,0,0
Litoral,Entre Ríos,Gualeguaychú,,,0,0,0
Litoral,Entre Ríos,Concepción del Uruguay,,,0,0,0
Litoral,Entre Ríos,Diamante,,,0,0,0
Litoral,Entre Ríos,Gualeguay,,,Sin datos,0,0
Centro Norte,San Luis,La Toma,,,0,0,0
Centro Norte,Córdoba,Corralito,,,0,1,0
Centro Norte,Córdoba,Freyre,,,0,0,0
Centro Norte,Córdoba,Morteros,,,0,0,0
Centro Norte,Córdoba,Rayo Cortado,,,0,0,0
Centro Norte,Córdoba,Jesús María,,,2,0,0
Centro Norte,Córdoba,El Fortín,,,0,0,0
Centro Norte,Córdoba,Río Ceballos,,,1,0,0
Centro Norte,Córdoba,Villa María,,,0,0,0
Centro Norte,Córdoba,Cañada de Luque,,,0,0,0
