localidad,provincia,region,temporada,lat,lon,dist_zona_endemica_km,oni_invierno,heladas_count,heladas_severas_count,temp_min_abs,temp_media_invierno,temp_min_media_invierno,dias_tmin_gt_10,dias_tmin_gt_15,dias_tmin_gt_18,gdd_base10,gdd_base0_negativo,rh_mean_invierno,precip_total_invierno,dias_con_lluvia,wind_mean_invierno,wind_max_invierno,wind_norte_ratio,temp_media_primavera,temp_min_media_primavera,dias_tmin_gt_15_primavera,dias_tmin_gt_18_primavera,gdd_base10_primavera,rh_mean_primavera,precip_total_primavera,wind_mean_primavera,dist_nearest_outbreak_km,dist_nearest_high_outbreak_km,n_outbreaks_within_100km,n_outbreaks_within_200km,prev_max_capturas,prev_mean_capturas,prev_target,prev_n_detecciones,max_capturas,mean_capturas,n_lecturas,n_detecciones,target
12 de octubre,Buenos Aires,CENTRO SUR,2024-2025,-38.7388808,-62.21265,1356.3726236556404,0.08,10,0,-2.3,8.985869565217392,4.806521739130434,8,1,0,97.7,-11.6,67.46739130434783,112.4,10,14.96521739130435,40.0,0.41304347826086957,16.321311475409836,11.029508196721311,11,3,385.8,54.0,58.7,16.460655737704915,9999.0,9999.0,0,0,0.0,0.0,0,0,4.0,0.1666666666666666,60,4,0
12 de octubre,Buenos Aires,CENTRO SUR,2025-2026,-38.7388808,-62.21265,1356.3726236556404,-0.14,2,0,-2.0,9.317391304347824,5.806521739130435,7,0,0,88.4,-3.4,72.19565217391305,88.39999999999999,11,12.854347826086956,36.2,0.40217391304347827,14.522950819672133,9.850819672131147,7,0,288.09999999999997,65.78688524590164,192.70000000000002,14.414754098360655,127.4102177495474,555.448218966538,0,1,4.0,0.1666666666666666,0,4,4.0,0.1818181818181818,44,2,0
17 de agosto,Buenos Aires,CENTRO SUR,2024-2025,-37.3331543,-59.1455469,1301.993030842204,0.08,17,0,-4.0,7.7239130434782615,3.953260869565218,9,1,0,60.99999999999999,-25.8,75.93478260869566,96.60000000000001,18,14.828260869565215,45.7,0.20652173913043478,13.968852459016393,8.434426229508198,5,1,249.8,67.78688524590164,121.5,13.555737704918034,9999.0,9999.0,0,0,0.0,0.0,0,0,0.0,0.0,43,0,0
17 de agosto,Buenos Aires,CENTRO SUR,2025-2026,-37.3331543,-59.1455469,1301.993030842204,-0.14,7,0,-3.0,7.918478260869565,4.129347826086955,2,0,0,35.5,-12.1,77.30434782608695,160.7,18,13.446739130434787,43.7,0.30434782608695654,12.724590163934424,7.670491803278689,0,0,197.60000000000002,73.63934426229508,194.1,14.075409836065573,219.77667065011053,454.06563272658866,0,0,0.0,0.0,0,0,0.0,0.0,24,0,0
acequiones,Tucumán,NOA,2024-2025,-26.3007093,-65.2674583,55.922602190744875,0.08,2,0,-0.9,12.631521739130434,7.316304347826086,19,1,0,301.40000000000003,-1.6,63.47826086956522,14.600000000000001,2,9.966304347826087,38.2,0.13043478260869565,21.5655737704918,15.398360655737704,38,16,705.4999999999998,51.21311475409836,71.2,12.136065573770493,9999.0,9999.0,0,0,0.0,0.0,0,0,5120.0,339.2105263157895,57,39,1
acequiones,Tucumán,NOA,2025-2026,-26.3007093,-65.2674583,55.922602190744875,-0.14,2,0,-0.9,11.98695652173913,6.568478260869565,10,0,0,220.39999999999998,-1.1,70.68478260869566,42.50000000000001,7,8.625000000000002,37.3,0.22826086956521738,19.660655737704914,13.019672131147543,21,4,589.3,52.21311475409836,16.9,11.322950819672128,0.0,0.0,28,60,5120.0,339.2105263157895,1,39,610.0,104.75,12,12,1
adelia maría,Córdoba,CENTRO SUR,2024-2025,-33.6336195,-64.0240394,768.1991910293248,0.08,8,0,-1.5,10.116304347826086,5.906521739130436,11,2,0,133.70000000000002,-6.699999999999999,68.23913043478261,31.799999999999997,10,10.804347826086953,28.9,0.45652173913043476,18.237704918032787,12.639344262295081,17,7,502.49999999999994,54.90163934426229,175.5,13.121311475409835,9999.0,9999.0,0,0,0.0,0.0,0,0,41.0,3.9814814814814814,54,18,1
adelia maría,Córdoba,CENTRO SUR,2025-2026,-33.6336195,-64.0240394,768.1991910293248,-0.14,4,0,-2.8,10.332608695652175,5.967391304347826,7,0,0,120.8,-5.8,68.48913043478261,174.1,13,13.384782608695653,37.3,0.5,16.837704918032788,11.216393442622952,10,2,422.9000000000001,59.52459016393443,162.1,16.450819672131146,0.0,12.470559701449037,14,38,41.0,3.9814814814814814,1,18,41.0,2.2857142857142856,42,14,1
alberdi,Buenos Aires,CENTRO SUR,2024-2025,-36.8836862,-60.3348534,1211.2803671705303,0.08,16,0,-3.6,8.093478260869565,3.9499999999999997,8,1,0,71.89999999999999,-31.299999999999997,74.34782608695652,73.4,13,13.153260869565216,41.8,0.2717391304347826,15.083606557377049,9.1672131147541,5,1,313.2999999999999,63.19672131147541,101.8,12.977049180327871,9999.0,9999.0,0,0,0.0,0.0,0,0,2.0,0.04,50,1,0
alberdi,Buenos Aires,CENTRO SUR,2025-2026,-36.8836862,-60.3348534,1211.2803671705303,-0.14,10,0,-3.9,8.34891304347826,4.210869565217391,5,0,0,53.9,-14.600000000000001,75.66304347826087,153.7,16,11.951086956521737,42.8,0.34782608695652173,13.62786885245902,8.111475409836066,0,0,241.49999999999997,70.65573770491804,182.1,13.004918032786886,175.42303163748466,377.87312559658204,0,2,2.0,0.04,0,1,2.0,0.1632653061224489,49,6,0
