localidad,provincia,region,temporada,max_capturas,mean_capturas,n_lecturas,n_detecciones,target
0,Achiras,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Adelia María,CÓRDOBA,2025-2026,1.0,0.5,2,1,0
0,Anguil 1,LA PAMPA,2025-2026,0.0,0.0,2,0,0
0,Armstrong,SANTA FE,2025-2026,12.0,6.5,2,2,1
0,Arroyo Cabral,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Ballesteros,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Benjamín Gould,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Buchardo,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Buena Esperanza,SAN LUÍS,2025-2026,0.0,0.0,2,0,0
0,Cañada De Gómez,SANTA FE,2025-2026,4.0,2.0,2,1,0
0,Chañar Ladeado,SANTA FE,2025-2026,0.0,0.0,2,0,0
0,Cnel. Baigorria,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Coronel Moldes,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Cuatro Vientos,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,General Levalle,CÓRDOBA,2025-2026,0.0,0.0,1,0,0
0,General Pico,LA PAMPA,2025-2026,0.0,0.0,2,0,0
0,General Roca,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Gral. Cabrera,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Guatimozin,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Hughes,SANTA FE,2025-2026,1.0,0.5,2,1,0
0,Iriarte,SANTA FE,2025-2026,0.0,0.0,2,0,0
0,J. B. Molina,SANTA FE,2025-2026,0.0,0.0,2,0,0
0,Jovita,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Juan Jorba,SAN LUÍS,2025-2026,0.0,0.0,2,0,0
0,La Angelina,SAN LUÍS,2025-2026,0.0,0.0,2,0,0
0,La Carlota,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,La Playosa,CÓRDOBA,2025-2026,1.0,0.5,2,1,0
0,Lecueder,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Macachín,LA PAMPA,2025-2026,0.0,0.0,2,0,0
0,Marcos Juarez 2,CÓRDOBA,2025-2026,4.0,2.0,2,1,0
0,Melo,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Monte De Oca,SANTA FE,2025-2026,0.0,0.0,1,0,0
0,Naschel,SAN LUÍS,2025-2026,0.0,0.0,2,0,0
0,Nueva Galia,SAN LUÍS,2025-2026,0.0,0.0,2,0,0
0,Ordoñez,CÓRDOBA,2025-2026,4.0,2.0,2,1,0
0,Pueblo Uranga,SANTA FE,2025-2026,0.0,0.0,2,0,0
0,Pujato,SANTA FE,2025-2026,0.0,0.0,2,0,0
0,Quemú Quemú,LA PAMPA,2025-2026,0.0,0.0,2,0,0
0,Quines,SAN LUÍS,2025-2026,0.0,0.0,2,0,0
0,San Luis 1,SAN LUÍS,2025-2026,0.0,0.0,2,0,0
0,Santa Rosa,LA PAMPA,2025-2026,0.0,0.0,2,0,0
0,Teodelina,SANTA FE,2025-2026,0.0,0.0,2,0,0
0,Venado Tuerto,SANTA FE,2025-2026,0.0,0.0,2,0,0
0,Vicuña Mackenna,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Villa María,CÓRDOBA,2025-2026,0.0,0.0,2,0,0
0,Villa Mugueta,SANTA FE,2025-2026,0.0,0.0,2,0,0
0,Villa Valeria,CÓRDOBA,2025-2026,0.0,0.0,4,0,0
0,Villada,SANTA FE,2025-2026,0.0,0.0,2,0,0
0,Wheelright,SANTA FE,2025-2026,1.0,0.5,2,1,0
0,Winifreda,LA PAMPA,2025-2026,0.0,0.0,2,0,0
0,Zavalla,SANTA FE,2025-2026,14.0,7.0,2,1,1
0,Álvarez,SANTA FE,2025-2026,3.0,2.5,2,2,0
1,Monte Buey,CÓRDOBA,2025-2026,5.0,2.5,2,1,1
1,San Jerónimo Sur,SANTA FE,2025-2026,5.0,4.0,2,2,1
12 de octubre,Buenos Aires,CENTRO SUR,2024-2025,4.0,0.16666666666666666,60,4,0
12 de octubre,Buenos Aires,CENTRO SUR,2025-2026,4.0,0.18181818181818182,44,2,0
17 de agosto,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,43,0,0
17 de agosto,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,24,0,0
2,Timbúes,SANTA FE,2025-2026,1.0,0.5,2,1,0
25 de mayo salesiana,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,50,0,0
25 de mayo salesiana,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,49,0,0
25demayo,Bs As,CENTRO NORTE,2024-2025,0.0,0.0,1,0,0
3 retoños,Chaco,NEA,2024-2025,53.0,8.186046511627907,43,19,1
3 retoños,Chaco,NEA,2025-2026,104.0,60.333333333333336,9,8,1
4bocas,Santiago Del Estero,NEA,2024-2025,2.0,2.0,2,2,0
acegua,,URUGUAY,2024-2025,0.0,0.0,1,0,0
acegua,Uruguay,URUGUAY,2024-2025,0.0,0.0,12,0,0
acequiones,Tucumán,NOA,2024-2025,5120.0,339.2105263157895,57,39,1
acequiones,Tucumán,NOA,2025-2026,610.0,104.75,12,12,1
achiras,Córdoba,CENTRO SUR,2025-2026,2.0,0.11764705882352941,17,1,0
adelia maría,Córdoba,CENTRO SUR,2024-2025,41.0,3.9814814814814814,54,18,1
adelia maría,Córdoba,CENTRO SUR,2025-2026,41.0,2.2857142857142856,42,14,1
agua sucia,Salta,NOA,2025-2026,16.0,5.409090909090909,22,20,1
ahí veremos,Santiago Del Estero,NEA,2025-2026,44.0,9.470588235294118,17,13,1
alberdi,Buenos Aires,CENTRO SUR,2024-2025,2.0,0.04,50,1,0
alberdi,Buenos Aires,CENTRO SUR,2025-2026,2.0,0.16326530612244897,49,6,0
aldao,Santa Fe,CENTRO NORTE,2024-2025,4.0,0.3333333333333333,57,9,0
aldao,Santa Fe,CENTRO NORTE,2025-2026,5.0,2.838709677419355,31,28,1
aldao,Santa Fe,LITORAL,2024-2025,0.0,0.0,1,0,0
alejandra,Santa Fe,NEA,2024-2025,176.0,26.607843137254903,51,26,1
alejandra,Santa Fe,NEA,2025-2026,51.0,9.333333333333334,9,8,1
almirante brown,Chaco,NEA,2025-2026,0.0,0.0,3,0,0
alto verde,Tucumán,NOA,2024-2025,254.0,62.421052631578945,57,41,1
alto verde,Tucumán,NOA,2025-2026,372.0,123.78260869565217,46,46,1
ambosio,Corrientes,LITORAL,2024-2025,0.0,0.0,6,0,0
ambrosetti,Santa Fe,NEA,2024-2025,205.0,35.67307692307692,52,22,1
ambrosetti,Santa Fe,NEA,2025-2026,205.0,17.20408163265306,49,26,1
ambrosio,Corrientes,LITORAL,2024-2025,212.0,19.4390243902439,41,38,1
ambrosio,Corrientes,LITORAL,2025-2026,26.0,3.3636363636363638,33,23,1
américa,Buenos Aires,CENTRO SUR,2024-2025,14.0,0.22018348623853212,109,9,1
américa,Buenos Aires,CENTRO SUR,2025-2026,14.0,0.358695652173913,92,6,1
ana zumaran,Córdoba,CENTRO SUR,2024-2025,62.0,9.01923076923077,52,19,1
ana zumaran,Córdoba,CENTRO SUR,2025-2026,18.0,1.9166666666666667,24,3,1
angelica,Santa Fe,CENTRO NORTE,2025-2026,16.0,1.68,25,6,1
anguil,La Pampa,CENTRO SUR,2024-2025,6.0,0.49122807017543857,57,5,1
anguil,La Pampa,CENTRO SUR,2025-2026,5.0,0.20454545454545456,44,3,1
antilla,Salta,NOA,2024-2025,3061.0,267.81481481481484,54,39,1
antilla,Salta,NOA,2025-2026,3061.0,146.27906976744185,43,41,1
arbol blanco,Santiago Del Estero,NEA,2024-2025,125.0,10.054545454545455,55,20,1
arbol blanco,Santiago Del Estero,NEA,2025-2026,125.0,13.346153846153847,26,21,1
arenal grande,,URUGUAY,2024-2025,0.0,0.0,3,0,0
arenal grande,Uruguay,URUGUAY,2024-2025,0.0,0.0,13,0,0
arenaza,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,54,0,0
arenaza,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,9,0,0
arias,Córdoba,CENTRO SUR,2024-2025,7.0,0.53125,32,8,1
arias,Córdoba,CENTRO SUR,2025-2026,7.0,5.0,3,3,1
armstrong,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,27,0,0
armstrong,Santa Fe,CENTRO SUR,2024-2025,45.0,6.0,18,3,1
armstrong,Santa Fe,CENTRO SUR,2025-2026,60.0,4.476190476190476,42,11,1
arrecifes,Buenos Aires,CENTRO SUR,2024-2025,20.0,1.7454545454545454,55,13,1
arrecifes,Buenos Aires,CENTRO SUR,2025-2026,20.0,2.85,20,6,1
arroyito,Córdoba,CENTRO NORTE,2024-2025,169.0,25.733333333333334,60,33,1
arroyito,Córdoba,CENTRO NORTE,2025-2026,298.0,24.177777777777777,45,15,1
arroyo barú,Entre Ríos,LITORAL,2024-2025,734.0,149.60416666666666,48,24,1
arroyo barú,Entre Ríos,LITORAL,2025-2026,328.0,12.261904761904763,42,13,1
arroyo cabral,Córdoba,CENTRO SUR,2024-2025,52.0,11.714285714285714,42,18,1
arroyo cabral,Córdoba,CENTRO SUR,2025-2026,20.0,1.4680851063829787,47,6,1
arroyo cabral,Santa Fe,CENTRO SUR,2024-2025,2.0,0.6666666666666666,9,3,0
arroyo ceibal,Santa Fe,NEA,2024-2025,463.0,73.28070175438596,57,42,1
arroyo ceibal,Santa Fe,NEA,2025-2026,307.0,47.25714285714286,35,21,1
ascasubi,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,48,0,0
ascasubi,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,50,0,0
ataliva,Santa Fe,CENTRO NORTE,2024-2025,115.0,7.4,55,15,1
ataliva,Santa Fe,CENTRO NORTE,2025-2026,115.0,8.522727272727273,44,15,1
austrey,Uruguay,URUGUAY,2025-2026,0.0,0.0,4,0,0
averias,Santiago Del Estero,NEA,2025-2026,,,0,0,0
avia terai,Chaco,NEA,2025-2026,11.0,11.0,1,1,1
avia terai,Santiago Del Estero,NEA,2025-2026,11.0,3.125,8,5,1
ayacucho,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,49,0,0
ayacucho,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,46,0,0
añatuya,Santiago Del Estero,NEA,2025-2026,758.0,83.0,25,15,1
bajo hondo,Chaco,NEA,2025-2026,83.0,11.333333333333334,27,14,1
balcarce,Buenos Aires,CENTRO SUR,2024-2025,1.0,0.024390243902439025,41,1,0
balcarce,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,44,0,0
ballester,Buenos Aires,CENTRO SUR,2024-2025,1.0,0.2222222222222222,9,2,0
ballestero,Córdoba,CENTRO SUR,2025-2026,0.0,0.0,3,0,0
ballesteros,Córdoba,CENTRO SUR,2024-2025,8.0,0.24324324324324326,37,2,1
ballesteros,Córdoba,CENTRO SUR,2025-2026,8.0,0.9666666666666667,30,9,1
ballivián,Salta,NOA,2024-2025,544.0,48.813559322033896,59,30,1
ballivián,Salta,NOA,2025-2026,360.0,42.36585365853659,41,15,1
bandera,Santiago Del Estero,NEA,2024-2025,2319.0,143.85714285714286,112,48,1
bandera,Santiago Del Estero,NEA,2025-2026,2057.0,39.52325581395349,86,27,1
basail,Chaco,NEA,2024-2025,103.0,24.6,40,28,1
basail,Chaco,NEA,2025-2026,92.0,23.5,46,42,1
bdo de irigoyen,Santa Fe,CENTRO NORTE,2024-2025,0.0,0.0,3,0,0
belgrano,Santiago Del Estero,NEA,2024-2025,3.0,0.6,15,3,0
bella vista,Corrientes,LITORAL,2024-2025,24.0,3.169811320754717,53,38,1
bella vista,Corrientes,LITORAL,2025-2026,12.0,4.382978723404255,47,35,1
benjamín gould,Córdoba,CENTRO SUR,2024-2025,34.0,0.9454545454545454,55,6,1
benjamín gould,Córdoba,CENTRO SUR,2025-2026,34.0,2.2222222222222223,45,13,1
bermejo,Chaco,NEA,2024-2025,6.0,6.0,1,1,1
bernardo de irigoyen,Santa Fe,CENTRO NORTE,2024-2025,66.0,5.793103448275862,58,19,1
